Date	pH	Cl-	DOC	CO2(aq)	SOC	CO2(s)
20160907	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160908	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160909	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160910	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160911	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160912	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160913	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160914	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160915	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160916	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160917	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160918	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160919	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160920	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160921	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160922	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160923	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160924	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160925	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160926	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160927	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160928	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160929	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20160930	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161001	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161002	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161003	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161004	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161005	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161006	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161007	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161008	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161009	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161010	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161011	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161012	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161013	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161014	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161015	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161016	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161017	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161018	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161019	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161020	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161021	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161022	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161023	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161024	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161025	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161026	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161027	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161028	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161029	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161030	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161031	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161101	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161102	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161103	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161104	5	2.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161105	5	2.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161106	5	1.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161107	5	1.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161108	5	1.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161109	5	1.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161110	5	1.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161111	5	1.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161112	5	1.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161113	5	1.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161114	5	1.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161115	5	1.45E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161116	5	1.50E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161117	5	1.55E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161118	5	1.60E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161119	5	1.65E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161120	5	1.70E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161121	5	1.75E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161122	5	1.80E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161123	5	1.85E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161124	5	1.90E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161125	5	1.95E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161126	5	2.00E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161127	5	2.05E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161128	5	2.10E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161129	5	2.15E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161130	5	2.20E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161201	5	2.25E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161202	5	2.30E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161203	5	2.35E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
20161204	5	2.40E-07	1.00E-08	1.00E-08	1.0E-10	1.0E-10
