Date	pH	Cl-
20160523	5.0	1.00E-10
20160524	5.0	1.00E-10
20160525	5.0	1.00E-10
20160526	5.0	1.00E-10
20160527	5.0	1.00E-10
20160528	5.0	1.00E-10
20160529	5.0	1.00E-10
20160530	5.0	1.00E-10
20160531	5.0	1.00E-10
20160601	5.0	1.00E-10
20160602	5.0	1.00E-10
20160603	5.0	1.00E-10
20160604	5.0	1.00E-10
20160605	5.0	1.00E-10
20160606	5.0	1.00E-10
20160607	5.0	1.00E-10
20160608	5.0	1.00E-10
20160609	5.0	1.00E-10
20160610	5.0	1.00E-10
20160611	5.0	1.00E-10
20160612	5.0	1.00E-10
20160613	5.0	1.00E-10
20160614	5.0	1.00E-10
20160615	5.0	1.00E-10
20160616	5.0	1.00E-10
20160617	5.0	1.00E-10
20160618	5.0	1.00E-10
20160619	5.0	1.00E-10
20160620	5.0	1.00E-10
20160621	5.0	1.00E-10
20160622	5.0	1.00E-10
20160623	5.0	1.00E-10
20160624	5.0	1.00E-10
20160625	5.0	1.00E-10
20160626	5.0	1.00E-10
20160627	5.0	1.00E-10
20160628	5.0	1.00E-10
20160629	5.0	1.00E-10
20160630	5.0	1.00E-10
20160701	5.0	1.00E-10
20160702	5.0	1.00E-10
20160703	5.0	1.00E-10
20160704	5.0	1.00E-10
20160705	5.0	1.00E-10
20160706	5.0	1.00E-10
20160707	5.0	1.00E-10
20160708	5.0	1.00E-10
20160709	5.0	1.00E-10
20160710	5.0	1.00E-10
20160711	5.0	1.00E-10
20160712	5.0	1.00E-10
20160713	5.0	1.00E-10
20160714	5.0	1.00E-10
20160715	5.0	1.00E-10
20160716	5.0	1.00E-10
20160717	5.0	1.00E-10
20160718	5.0	1.00E-10
20160719	5.0	1.00E-10
20160720	5.0	1.00E-10
20160721	5.0	1.00E-10
20160722	5.0	1.00E-10
20160723	5.0	1.00E-10
20160724	5.0	1.00E-10
20160725	5.0	1.00E-10
20160726	5.0	1.00E-10
20160727	5.0	1.00E-10
20160728	5.0	1.00E-10
20160729	5.0	1.00E-10
20160730	5.0	1.00E-10
20160731	5.0	1.00E-10
20160801	5.0	1.00E-10
20160802	5.0	1.00E-10
20160803	5.0	1.00E-10
20160804	5.0	1.00E-10
20160805	5.0	1.00E-10
20160806	5.0	1.00E-10
20160807	5.0	1.00E-10
20160808	5.0	1.00E-10
20160809	5.0	1.00E-10
20160810	5.0	1.00E-10
20160811	5.0	1.00E-10
20160812	5.0	1.00E-10
20160813	5.0	1.00E-10
20160814	5.0	1.00E-10
20160815	5.0	1.00E-10
20160816	5.0	1.00E-10
20160817	5.0	1.00E-10
20160818	5.0	1.00E-10
20160819	5.0	1.00E-10
20160820	5.0	1.00E-10
20160821	5.0	1.00E-10
20160822	5.0	1.00E-10
20160823	5.0	1.00E-10
20160824	5.0	1.00E-10
20160825	5.0	1.00E-10
20160826	5.0	1.00E-10
20160827	5.0	1.00E-10
20160828	5.0	1.00E-10
20160829	5.0	1.00E-10
20160830	5.0	1.00E-10
20160831	5.0	1.00E-10
20160901	5.0	1.00E-10
20160902	5.0	1.00E-10
20160903	5.0	1.00E-10
20160904	5.0	1.00E-10
20160905	5.0	1.00E-10
20160906	5.0	1.00E-10
20160907	5.0	1.00E-10
20160908	5.0	1.00E-10
20160909	5.0	1.00E-10
20160910	5.0	1.00E-10
20160911	5.0	1.00E-10
20160912	5.0	1.00E-10
20160913	5.0	1.00E-10
20160914	5.0	1.00E-10
20160915	5.0	1.00E-10
20160916	5.0	1.00E-10
20160917	5.0	1.00E-10
20160918	5.0	1.00E-10
20160919	5.0	1.00E-10
20160920	5.0	1.00E-10
20160921	5.0	1.00E-10
20160922	5.0	1.00E-10
20160923	5.0	1.00E-10
20160924	5.0	1.00E-10
20160925	5.0	1.00E-10
20160926	5.0	1.00E-10
20160927	5.0	1.00E-10
20160928	5.0	1.00E-10
20160929	5.0	1.00E-10
20160930	5.0	1.00E-10
20161001	5.0	1.00E-10
20161002	5.0	1.00E-10
20161003	5.0	1.00E-10
20161004	5.0	1.00E-10
20161005	5.0	1.00E-10
20161006	5.0	1.00E-10
20161007	5.0	1.00E-10
20161008	5.0	1.00E-10
20161009	5.0	1.00E-10
20161010	5.0	1.00E-10
20161011	5.0	1.00E-10
20161012	5.0	1.00E-10
20161013	5.0	1.00E-10
20161014	5.0	1.00E-10
20161015	5.0	1.00E-10
20161016	5.0	1.00E-10
20161017	5.0	1.00E-10
20161018	5.0	1.00E-10
20161019	5.0	1.00E-10
20161020	5.0	1.00E-10
20161021	5.0	1.00E-10
20161022	5.0	1.00E-10
20161023	5.0	1.00E-10
20161024	5.0	1.00E-10
20161025	5.0	1.00E-10
20161026	5.0	1.00E-10
20161027	5.0	1.00E-10
20161028	5.0	1.00E-10
20161029	5.0	1.00E-10
20161030	5.0	1.00E-10
20161031	5.0	1.00E-10
20161101	5.0	1.00E-10
20161102	5.0	1.00E-10
20161103	5.0	1.00E-10
20161104	5.0	1.00E-10
20161105	5.0	1.00E-10
20161106	5.0	1.00E-10
20161107	5.0	1.00E-10
20161108	5.0	1.00E-10
20161109	5.0	1.00E-10
20161110	5.0	1.00E-10
20161111	5.0	1.00E-10
20161112	5.0	1.00E-10
20161113	5.0	1.00E-10
20161114	5.0	1.00E-10
20161115	5.0	1.00E-10
20161116	5.0	1.00E-10
20161117	5.0	1.00E-10
20161118	5.0	1.00E-10
20161119	5.0	1.00E-10
20161120	5.0	1.00E-10
20161121	5.0	1.00E-10
20161122	5.0	1.00E-10
20161123	5.0	1.00E-10
20161124	5.0	1.00E-10
20161125	5.0	1.00E-10
20161126	5.0	1.00E-10
20161127	5.0	1.00E-10
20161128	5.0	1.00E-10
20161129	5.0	1.00E-10
20161130	5.0	1.00E-10
20161201	5.0	1.00E-10
20161202	5.0	1.00E-10
20161203	5.0	1.00E-10
20161204	5.0	1.00E-10
20161205	5.0	1.00E-10
20161206	5.0	1.00E-10
20161207	5.0	1.00E-10
20161208	5.0	1.00E-10
20161209	5.0	1.00E-10
20161210	5.0	1.00E-10
20161211	5.0	1.00E-10
20161212	5.0	1.00E-10
20161213	5.0	1.00E-10
20161214	5.0	1.00E-10
20161215	5.0	1.00E-10
20161216	5.0	1.00E-10
20161217	5.0	1.00E-10
20161218	5.0	1.00E-10
20161219	5.0	1.00E-10
20161220	5.0	1.00E-10
20161221	5.0	1.00E-10
20161222	5.0	1.00E-10
20161223	5.0	1.00E-10
20161224	5.0	1.00E-10
20161225	5.0	1.00E-10
20161226	5.0	1.00E-10
20161227	5.0	1.00E-10
20161228	5.0	1.00E-10
20161229	5.0	1.00E-10
20161230	5.0	1.00E-10
20161231	5.0	1.00E-10
